User_ID,Age,Gender,Platform,Daily_Usage_Time,Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Emotion_Category,Platform_Category
1,25,Female,Instagram,120,3,45,10,12,Happiness,positive,Social Networking Platforms
2,30,Male,Twitter,90,5,20,25,30,Anger,negative,Hybrid Platforms
3,22,Non-binary,Facebook,60,2,15,5,20,Neutral,neutral,Social Networking Platforms
4,28,Female,Instagram,200,8,100,30,50,Anxiety,negative,Social Networking Platforms
5,33,Male,LinkedIn,45,1,5,2,10,Boredom,neutral,Hybrid Platforms
6,21,Male,Instagram,150,4,60,15,25,Happiness,positive,Social Networking Platforms
7,27,Female,Twitter,85,3,30,10,18,Anger,negative,Hybrid Platforms
8,24,Non-binary,Facebook,110,6,25,12,22,Sadness,negative,Social Networking Platforms
9,29,Female,LinkedIn,55,2,10,3,8,Neutral,neutral,Hybrid Platforms
10,31,Male,Instagram,170,5,80,20,35,Happiness,positive,Social Networking Platforms
11,23,Female,Twitter,75,4,35,7,20,Anxiety,negative,Hybrid Platforms
12,26,Non-binary,Facebook,95,3,20,10,18,Sadness,negative,Social Networking Platforms
13,34,Male,LinkedIn,65,1,12,4,15,Boredom,neutral,Hybrid Platforms
14,22,Female,Instagram,180,7,90,25,40,Happiness,positive,Social Networking Platforms
15,28,Male,Twitter,100,6,40,23,28,Anger,negative,Hybrid Platforms
16,21,Non-binary,Facebook,40,1,5,2,10,Neutral,neutral,Social Networking Platforms
17,35,Female,Instagram,125,4,55,18,30,Anxiety,negative,Social Networking Platforms
18,27,Male,Twitter,90,3,33,15,25,Sadness,negative,Hybrid Platforms
19,23,Non-binary,LinkedIn,50,1,8,3,12,Neutral,neutral,Hybrid Platforms
20,32,Female,Instagram,140,5,70,22,33,Happiness,positive,Social Networking Platforms
21,26,Male,Facebook,75,2,25,10,18,Anxiety,negative,Social Networking Platforms
22,24,Female,Twitter,105,4,28,14,20,Anger,negative,Hybrid Platforms
23,29,Male,LinkedIn,60,2,11,5,17,Boredom,neutral,Hybrid Platforms
24,33,Non-binary,Instagram,190,8,95,26,45,Happiness,positive,Social Networking Platforms
